id_Ville,Num_Dep,Nom_Ville,Longitude,Latitude
548,2,LOUATRE,3.25,49.25
549,2,BARZY-EN-THIERACHE,3.75,50.0333
550,2,CONDE-EN-BRIE,3.55,49
551,2,DAMPLEUX,3.15,49.25
552,2,SOMMELANS,3.3,49.1333
553,2,PONTRUET,3.23333,49.9
554,2,OIGNY-EN-VALOIS,3.13333,49.2167
555,2,LOUPEIGNE,3.53333,49.25
556,2,LHUYS,3.55,49.2833
557,2,EPARCY,4.06667,49.8667
558,2,LA CHAPELLE-MONTHODON,3.63333,49.0167
559,2,MORSAIN,3.18333,49.45
560,2,JAULGONNE,3.53333,49.0833
561,2,CHERMIZY-AILLES,3.73333,49.4667
562,2,BECQUIGNY,3.46973,50.0173
563,2,FESTIEUX,3.75,49.5167
564,2,VILLERS-LES-GUISE,3.68333,49.9
565,2,NAMPCELLES-LA-COUR,4,49.7833
566,2,MONTIGNY-EN-ARROUAISE,3.48333,49.9
567,2,BERRIEUX,3.85,49.4833
568,2,CHIGNY,3.76667,49.9167
569,2,MURET-ET-CROUTTES,3.41667,49.2833
570,2,FLAVIGNY-LE-GRAND-ET-BEAURAIN,3.66473,49.8909
571,2,LAON,3.61667,49.5667
572,2,SAINT-CLEMENT,4.06667,49.7667
573,2,DERCY,3.68333,49.7
574,2,ANGUILCOURT-LE-SART,3.43333,49.6833
575,2,VILLERS-EN-PRAYERES,3.66667,49.3833
576,2,CHALANDRY,3.63333,49.6833
